MSA,metromicro,CVAP20,TOTVOTE20,TURNOUTRATE20,CVAP24,TOTVOTE24,TURNOUTRATE24,TURNOUTRATE2024AVG
"Abilene, TX",Metropolitan Statistical Area,129580,68683,0.530043217,132830,69352,0.522110969,0.526077093
"Akron, OH",Metropolitan Statistical Area,545630,363244,0.665733189,541690,356797,0.65867378,0.662203485
"Albany, GA",Metropolitan Statistical Area,110240,65720,0.596153846,108990,65183,0.598064043,0.597108944
"Albany, OR",Metropolitan Statistical Area,96890,72151,0.744669213,98940,71429,0.721942591,0.733305902
"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,701470,455824,0.649812537,699390,446332,0.638173265,0.643992901
"Albuquerque, NM",Metropolitan Statistical Area,679815,433650,0.637894133,690535,430840,0.623922031,0.630908082
"Alexandria, LA",Metropolitan Statistical Area,112770,68257,0.605276226,109480,62413,0.57008586,0.587681043
"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,650835,450483,0.692161608,655355,463570,0.707357081,0.699759344
"Altoona, PA",Metropolitan Statistical Area,97150,63599,0.654647452,95540,64949,0.679809504,0.667228478
"Amarillo, TX",Metropolitan Statistical Area,187275,103189,0.551002536,191835,104282,0.543602575,0.547302556
"Ames, IA",Metropolitan Statistical Area,98110,66141,0.674151463,99020,64929,0.655716017,0.66493374
"Amherst Town-Northampton, MA",Metropolitan Statistical Area,124440,87675,0.704556413,130770,84720,0.647855013,0.676205713
"Anchorage, AK",Metropolitan Statistical Area,290665,197656,0.680013073,292705,189057,0.645896039,0.662954556
"Ann Arbor, MI",Metropolitan Statistical Area,281585,216314,0.768201431,276805,221542,0.80035404,0.784277736
"Anniston-Oxford, AL",Metropolitan Statistical Area,90155,50848,0.564006433,89675,48653,0.54254809,0.553277262
"Appleton, WI",Metropolitan Statistical Area,183010,138692,0.757838369,184230,144848,0.786234598,0.772036484
"Asheville, NC",Metropolitan Statistical Area,320315,242389,0.756720728,320975,244105,0.760510943,0.758615836
"Athens-Clarke County, GA",Metropolitan Statistical Area,164285,99560,0.606020026,166255,105838,0.636600403,0.621310215
"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,4263060,2959699,0.694266325,4320990,3089768,0.715060206,0.704663266
"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,276605,197737,0.714871387,276035,184327,0.667766769,0.691319078
"Auburn-Opelika, AL",Metropolitan Statistical Area,149000,79788,0.535489933,149840,80961,0.540316337,0.537903135
"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,461620,291896,0.632329622,466750,296080,0.634343867,0.633336744
"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1594265,1058411,0.663886493,1700205,1071071,0.629965798,0.646926146
"Bakersfield-Delano, CA",Metropolitan Statistical Area,543555,305223,0.561531032,551465,283284,0.513693525,0.537612279
"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2107745,1412999,0.670384226,2079515,1422620,0.684111439,0.677247832
"Bangor, ME",Metropolitan Statistical Area,123350,85741,0.695103364,124520,87073,0.699269194,0.697186279
"Barnstable Town, MA",Metropolitan Statistical Area,187565,149807,0.798693786,188625,148785,0.788787276,0.793740531
"Baton Rouge, LA",Metropolitan Statistical Area,647925,413093,0.63756299,636175,391849,0.615945298,0.626754144
"Battle Creek, MI",Metropolitan Statistical Area,100755,66270,0.657734107,100285,68505,0.683103156,0.670418632
"Bay City, MI",Metropolitan Statistical Area,82935,60255,0.726532827,81815,61338,0.749715822,0.738124325
"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,279190,158359,0.567208711,277610,150809,0.543240517,0.555224614
"Beckley, WV",Metropolitan Statistical Area,90570,49964,0.551661698,88180,46586,0.528305738,0.539983718
"Bellingham, WA",Metropolitan Statistical Area,173495,137662,0.793463789,177715,137868,0.775781448,0.784622618
"Bend, OR",Metropolitan Statistical Area,193780,151541,0.782026009,200960,155422,0.773397691,0.77771185
"Billings, MT",Metropolitan Statistical Area,141655,96593,0.681889097,144505,94594,0.654607107,0.668248102
"Binghamton, NY",Metropolitan Statistical Area,192100,117404,0.611160854,190670,115018,0.603230713,0.607195783
"Birmingham, AL",Metropolitan Statistical Area,887865,570419,0.64246141,877805,543897,0.619610278,0.631035844
"Bismarck, ND",Metropolitan Statistical Area,100645,68072,0.676357494,101175,70386,0.695685693,0.686021594
"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,147095,86938,0.591033006,145585,90309,0.620318027,0.605675517
"Bloomington, IL",Metropolitan Statistical Area,128840,87000,0.675256132,127410,86522,0.679083274,0.677169703
"Bloomington, IN",Metropolitan Statistical Area,128080,72942,0.569503435,127200,69132,0.543490566,0.556497001
"Boise City, ID",Metropolitan Statistical Area,562060,369322,0.657086432,594860,388929,0.653816024,0.655451228
"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,3555205,2590848,0.72874785,3565355,2482062,0.696161252,0.712454551
"Boulder, CO",Metropolitan Statistical Area,253805,206227,0.812541124,253795,196304,0.773474655,0.793007889
"Bowling Green, KY",Metropolitan Statistical Area,132230,76971,0.582099372,133980,78499,0.585900881,0.584000127
