"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2010,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"","",TRUE,"total",861,156281,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"David Walter","constitution",FALSE,"total",26357,156281,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Jo Bonner","republican",FALSE,"total",129063,156281,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"","",TRUE,"total",518,219028,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Bobby Bright","democrat",FALSE,"total",106865,219028,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Martha Roby","republican",FALSE,"total",111645,219028,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"","",TRUE,"total",199,198139,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Mike Rogers","republican",FALSE,"total",117736,198139,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Steve Segrest","democrat",FALSE,"total",80204,198139,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"","",TRUE,"total",2007,169721,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Robert B. Aderholt","republican",FALSE,"total",167714,169721,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"","",TRUE,"total",189,226490,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Mo Brooks","republican",FALSE,"total",131109,226490,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Steve Raby","democrat",FALSE,"total",95192,226490,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"","",TRUE,"total",4076,209364,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Spencer Bachus","republican",FALSE,"total",205288,209364,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"","",TRUE,"total",138,188724,FALSE,20171005
2010,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Don Chamberlain","republican",FALSE,"total",51890,188724,FALSE,20171005
