"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1976,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Allan Norwitz","libertarian",FALSE,"total",7310,741210,FALSE,20171011
1976,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Bob Field","independent",FALSE,"total",10765,741210,FALSE,20171011
1976,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Dennis DeConcini","democrat",FALSE,"total",400334,741210,FALSE,20171011
1976,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Sam Steiger","republican",FALSE,"total",321236,741210,FALSE,20171011
1976,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Wm. Mathews Feighan","independent",FALSE,"total",1565,741210,FALSE,20171011
1976,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"David Wald","peace and freedom",FALSE,"total",104383,7470586,FALSE,20171011
1976,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Jack McCoy","american independent",FALSE,"total",82739,7470586,FALSE,20171011
1976,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"John V. Tunney","democrat",FALSE,"total",3502862,7470586,FALSE,20171011
1976,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Omari Musa","independent",FALSE,"total",31629,7470586,FALSE,20171011
1976,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"S. I. (Sam) Hayakawa","republican",FALSE,"total",3748973,7470586,FALSE,20171011
1976,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Gloria Schaffer","democrat",FALSE,"total",561018,1361666,FALSE,20171011
1976,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Lowell P. Weicker, Jr.","republican",FALSE,"total",785683,1361666,FALSE,20171011
1976,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Robert Barnabei","american independent",FALSE,"total",14407,1361666,FALSE,20171011
